herb,symptom,indication
U790,C0020429,1
U348,C0032285,0
U658,C0030193,1
U474,C0020429,1
U563,C0042024,0
U4,C0020429,1
U118,C0011991,1
U894,C0028756,0
U103,C0013604,1
U230,C0700590,1
U144,C0237326,0
U48,C0022346,0
U594,C0030193,1
U63,C0015644,0
U127,C0015230,0
U637,C0033774,1
U384,C0032617,0
U141,C0011991,1
U722,C0023530,0
U647,C0030193,1
U460,C0000737,1
U778,C0086437,0
U103,C0086132,0
U713,C1384666,0
U964,C0015672,0
U319,C0237326,1
U781,C0023014,0
U664,C0020429,1
U102,C0030193,1
U282,C0013404,0
U120,C0042571,1
U858,C0023380,1
U202,C0020429,1
U332,C0020438,0
U628,C0010200,1
U273,C0020429,1
U697,C1568248,0
U258,C0011991,0
U918,C0009421,1
U452,C0030193,1
U843,C0014335,0
U892,C0020438,0
U597,C0018834,1
U995,C0237326,1
U260,C0020429,1
U380,C0030193,1
U195,C3203358,0
U82,C0241210,0
U795,C0237326,1
U914,C0013604,1
U635,C0178417,0
U294,C1838869,0
U324,C0086132,0
U530,C0018681,1
U733,C0003123,1
U1010,C0011991,1
U823,C0032914,0
U390,C0271097,0
U715,C0015967,0
U360,C0034150,0
U302,C0042798,0
U765,C0008031,1
U74,C0015967,0
U135,C0851578,1
U713,C0020429,1
U709,C0010200,1
U262,C0030193,1
U944,C0011991,1
U579,C0010200,1
U268,C0030193,1
U927,C0234132,0
U530,C0030193,1
U447,C0020429,1
U36,C0018681,1
U823,C0030193,1
U346,C0030193,1
U964,C0021368,0
U662,C0241210,0
U401,C0042571,0
U62,C0030193,1
U679,C0032285,1
U506,C0035455,0
U286,C0020429,1
U462,C0011991,1
U721,C0000737,0
U87,C0012833,1
U891,C0030193,1
U262,C0000737,1
U682,C0020429,1
U430,C0030193,1
U765,C0751837,0
U984,C0155320,0
U320,C0162674,0
U18,C0010200,1
U135,C0020429,1
U47,C0917816,0
U858,C0018989,1
U322,C0002418,0
U104,C0042963,1
U372,C0085636,1
U503,C0030193,1
U156,C0030193,1
U672,C0042963,0
U13,C0023014,0
U34,C0008031,1
U349,C0032285,1
U95,C0026838,0
U477,C0699731,0
U205,C0020429,1
U614,C0030193,1
U476,C0030193,1
U101,C0013491,1
U826,C0000737,1
U841,C0012833,1
U488,C0917816,0
U195,C0020429,1
U274,C0032285,1
U627,C0030193,1
U462,C0042963,1
U640,C0427055,0
U214,C0020429,1
U657,C2931205,0
U932,C0028756,0
U789,C0018989,1
U869,C0035078,0
U66,C0338591,0
U325,C0020429,1
U527,C0028754,0
U765,C0020429,1
U319,C0018989,0
U862,C0011991,1
U160,C0026846,0
U682,C1963137,0
U177,C0023186,0
U417,C0022116,0
U244,C0020429,1
U375,C0022346,1
U59,C0237326,1
U597,C0036572,1
U26,C0007758,0
U146,C0032285,1
U166,C0034150,0
U508,C2931205,0
U917,C0023014,0
U189,C0033687,0
U860,C0020429,1
U503,C0013491,0
U623,C0013604,1
U13,C0151908,0
U146,C0018681,1
U990,C0022541,0
U5,C0020429,1
U772,C0023380,1
U406,C0032285,0
U351,C0011991,1
U12,C0012833,0
U6,C0039070,1
U190,C0751295,0
U403,C0237326,1
U190,C0152031,1
U959,C0003635,0
U62,C0023015,0
U13,C0030193,1
U388,C0033774,0
U818,C0020429,1
U527,C0013604,1
U627,C0005745,0
U734,C0233565,0
U674,C0010200,1
U979,C0015230,0
U452,C0234144,0
U440,C0018681,1
U363,C0015967,1
U630,C0030193,1
U808,C0234132,0
U603,C0040034,0
U125,C0011991,1
U220,C3552463,0
U519,C0013604,1
U942,C1568248,0
U87,C0020429,1
U1030,C0010200,0
U1040,C0042963,0
U147,C0037315,0
U971,C0020429,1
U623,C0010200,1
U1010,C0917816,1
U513,C0010200,1
U930,C0030193,1
U644,C0018780,0
U635,C0020538,0
U903,C0010200,1
U644,C0030193,1
U894,C0027498,0
U558,C0003635,0
U95,C0018681,1
U583,C0032617,0
U711,C0234132,0
U872,C0013604,1
U575,C0030193,1
U802,C0015230,0
U599,C0042571,0
U989,C0234144,0
U784,C0009806,1
U654,C0152031,0
U212,C3668816,0
